"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-25","10.07","0.26",,"0.0","8.0",,"41","28",,"    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-26","11.41","1.80",,"0.0","0.0",,"56","40",,"    1",,,,"    1",,,,"    1",,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-27","8.50","0.00",,"0.0","0.0",,"51","32",,"    1","    1",,,,,,,,,"    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-28","12.97","0.00",,"0.0","0.0",,"40","31",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-29","20.36","0.00",,"0.0","0.0",,"33","19",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-30","8.05","0.00",,"0.0","0.0",,"31","19",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-31","2.24","0.28",,"0.9","0.0",,"34","29",,"    1",,,"    1","    1","    1",,,,,,"    1",,"    1",,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-01","7.61","0.02",,"0.0","0.0",,"42","32",,"    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-02","19.46","0.00",,"0.0","0.0",,"32","22",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2010-01-03","20.58","0.00",,"0.0","0.0",,"27","20",,,,,,,,,,,,,,,"    1",,"    1",,
